RefSeq	Symbol	Chr	Start	End	Strand	txLength	countLength	Cond1_Samp1	Cond1_Samp2	Cond2_Samp1	Cond2_Samp2	Cond3_Samp1	Cond3_Samp2	Cond4_Samp1	Cond5_Samp2
NM_172698	EFCAB14	chr4	115410677	115449932	+	39255	4300	570	656	767	731	655	637	649	562
NM_021474	EFEMP2	chr19	5474689	5481854	+	7165	1556	3001	3887	2908	2938	1162	1216	1003	715
NM_027974	EFHC1	chr1	20941706	20980922	+	39216	2208	50	46	31	19	19	25	37	25
NM_028916	EFHC2	chrX	16709174	16896494	-	187320	2554	0	4	3	1	3	0	2	2
NM_007910	EFNA4	chr3	89137314	89141950	-	4636	1596	205	301	172	174	111	97	53	42
NM_133766	EFR3A	chr15	65618602	65705374	+	86772	5210	1255	1759	1328	1399	2865	2478	2069	2207
NM_001082483	EFR3B	chr12	3962553	4038915	-	76362	6547	44	59	13	16	3	0	2	5
NM_001159672	EFTUD1	chr7	89797123	89926362	+	129239	3608	327	315	286	219	307	300	203	213
NM_019397	EGFL6	chrX	162960938	163023648	-	62710	2700	0	4	1	1	0	0	0	0
NM_053207	EGLN1	chr8	127432486	127473154	-	40668	3524	496	808	617	1102	1046	782	1685	3282
NM_010118	EGR2	chr10	67000616	67004936	+	4320	2965	178	60	199	115	234	219	61	379
NM_018781	EGR3	chr14	70477251	70482420	+	5169	3872	117	83	130	155	10	22	19	104
NM_001252515	EHBP1	chr11	21905828	22186798	-	280970	5048	649	625	565	420	248	243	250	219
NM_001114597	EHBP1L1	chr19	5707373	5726317	-	18944	6406	1397	1614	1829	2074	1298	1224	2124	1696
NM_010119	EHD1	chr19	6276895	6300096	+	23201	3182	1180	2267	2393	3329	2314	2254	2263	1984
NM_001109687	EHMT1	chr2	24646288	24775129	-	128841	4963	630	865	881	950	913	777	608	537
NM_001199494	EI24	chr9	36586737	36604978	-	18241	2226	1199	1358	1003	845	1515	1539	1135	925
NM_025613	EID1	chr2	125498835	125501378	+	2543	2543	4294	4952	2603	2653	2521	2301	1507	1368
NM_011508	EIF1	chr11	100181309	100183410	+	2101	1211	860	1091	1576	1433	1978	1984	1094	1376
NM_026892	EIF1B	chr9	120401723	120404445	+	2722	917	304	378	301	302	390	345	348	286
NM_001005509	EIF2A	chr3	58329742	58361423	+	31681	2235	629	645	438	442	662	679	451	386
NM_011163	EIF2AK2	chr17	79251889	79281912	-	30023	4326	1108	2264	617	969	820	737	592	518
NM_013719	EIF2AK4	chr2	118214352	118300970	+	86618	5213	1002	1431	425	450	425	353	432	373
NM_145371	EIF2B1	chr5	125020222	125029066	-	8844	1938	316	471	862	663	1500	1502	587	594
NM_145445	EIF2B2	chr12	86560462	86567578	+	7116	1573	211	401	423	539	424	518	210	324
NM_001111277	EIF2B3	chr4	116692012	116759457	+	67445	1549	151	140	372	303	395	434	230	190
NM_026114	EIF2S1	chr12	79963058	79987997	+	24939	3152	717	1469	1743	1629	2069	2167	772	968
NM_012010	EIF2S3	chrX	91434047	91457990	-	23943	3587	1729	2622	2880	2980	4032	4010	1590	1539
NM_018749	EIF3D	chr15	77789427	77801254	-	11827	1910	853	1529	1536	1501	2412	3076	995	1172
NM_025344	EIF3F	chr7	116077928	116085456	+	7528	1507	2538	2470	1867	1919	2111	2131	1607	1077
NM_080635	EIF3H	chr15	51618108	51697007	-	78899	1228	2235	2199	2018	1988	2636	2814	1408	1313
NM_145139	EIF3L	chr15	78905652	78924830	+	19178	1893	1162	1848	1405	1618	2520	2756	1330	1105
NM_145380	EIF3M	chr2	104839813	104857184	-	17371	1148	1047	1105	1066	966	1461	1320	783	670
NM_001142734	EIF4A3	chr6	136277556	136280001	+	2445	1573	16	24	29	29	37	34	11	11
NM_001286180	EIF4E1B	chr13	54885358	54889819	+	4461	1792	0	0	0	0	0	0	0	0
NM_023314	EIF4E2	chr1	89110488	89137063	+	26575	3394	671	1030	1135	1121	1251	1260	629	702
NM_033561	EIF4H	chr5	135095745	135115198	-	19453	2409	3758	5436	6691	8280	7395	7416	3747	3765
NM_177586	EIF5A2	chr3	28680232	28697768	+	17536	4992	510	457	395	399	117	95	72	60
NM_053255	ELAC1	chr18	73894691	73914133	-	19442	4971	225	215	177	162	251	255	335	325
NM_010485	ELAVL1	chr8	4284781	4325100	-	40319	6030	836	1201	1290	1444	1551	1473	855	709
NM_010487	ELAVL3	chr9	21819448	21856467	-	37019	5027	0	3	1	0	2	0	10	8
NM_007920	ELF1	chr14	79881000	79982298	+	101298	4157	656	729	355	314	219	178	352	343
NM_001163131	ELF3	chr1	137150150	137155049	-	4899	2000	0	2	0	0	11	17	10	28
NM_001145813	ELF5	chr2	103252254	103291145	+	38891	2124	0	0	0	0	0	0	0	0
NM_001282967	ELK3	chr10	92710160	92773904	-	63744	3433	618	1017	199	318	65	78	45	32
NM_007923	ELK4	chr1	133904181	133922261	+	18080	3671	233	324	191	290	187	224	343	423
NM_138953	ELL2	chr13	75844931	75909806	+	64875	3649	256	324	387	589	1448	1471	1332	1332
NM_145973	ELL3	chr2	121264762	121268337	-	3575	1674	3	4	0	2	2	0	1	0
NM_172760	ELMO3	chr8	107829500	107834523	+	5023	3048	35	46	57	64	60	62	50	47
NM_001163501	ELMSAN1	chr12	85490122	85559831	-	69709	6851	591	727	2165	2256	1903	2476	957	993
NM_170777	ELOF1	chr9	21917432	21918613	-	1181	983	346	501	291	351	723	678	551	444
NM_148941	ELOVL4	chr9	83672298	83699912	-	27614	3054	57	42	31	25	46	38	5	75
NM_018740	ELP5	chr11	69781726	69794737	-	13011	1407	316	395	530	498	546	644	364	357
NM_010330	EMB	chr13	118009379	118063222	+	53843	2622	96	165	468	258	240	217	4	11
NM_197991	EMC10	chr7	51745307	51751883	-	6576	1855	1013	1394	970	1125	1536	1330	708	706
NM_010926	EMC8	chr8	123177813	123192012	-	14199	4933	374	561	594	505	1417	1480	975	839
NM_001163102	EME2	chr17	25029096	25032032	-	2936	1521	102	142	283	189	296	263	83	106
NM_001286346	EML1	chr12	109609362	109777774	+	168412	3654	1392	2240	828	1447	165	230	80	97
NM_008680	ENAH	chr1	183826515	183950111	-	123596	12291	2128	3396	6187	6756	852	1240	410	495
NM_027147	ENHO	chr4	41585176	41587335	-	2159	1232	104	83	53	60	6	11	4	5
NM_007933	ENO3	chr11	70470677	70476015	+	5338	1592	236	304	108	167	45	49	88	61
NM_001253759	ENOX1	chr14	77556569	78121570	+	565001	3490	190	250	387	205	83	62	132	76
NM_001271449	ENOX2	chrX	46362883	46641419	-	278536	3966	85	100	45	36	124	115	133	138
NM_001030291	ENPP7	chr11	118849501	118854155	+	4654	1370	0	0	0	0	0	0	0	0
NM_019561	ENSA	chr3	95428901	95436039	+	7138	1176	244	291	225	200	482	472	301	276
NM_001163189	ENTHD1	chr15	80282669	80390900	-	108231	2110	0	0	0	0	0	0	0	0
NM_009848	ENTPD1	chr19	40734283	40816092	+	81809	4197	0	1	1	0	0	0	1	1
NM_178676	ENTPD3	chr9	120448935	120477443	+	28508	3452	0	0	0	1	0	3	0	0
NM_172117	ENTPD6	chr2	150574816	150597410	+	22594	2500	367	440	833	569	1617	1520	1031	811
NM_175313	EOGT	chr6	97060937	97098877	-	37940	3205	279	410	270	267	240	274	225	307
NM_001164789	EOMES	chr9	118387306	118395250	+	7944	3658	1	0	0	0	0	0	0	0
NM_010137	EPAS1	chr17	87153203	87232750	+	79547	5352	197	308	2208	1539	387	394	1287	679
NM_023580	EPHA1	chr6	42308485	42323267	-	14782	3037	3	9	5	12	1	3	0	6
NM_010139	EPHA2	chr4	140857135	140885299	+	28164	3932	177	582	490	1091	13	17	9	8
NM_001033163	EPHX3	chr17	32320714	32326408	-	5694	2416	0	0	0	0	0	0	0	1
NM_001001804	EPHX4	chr5	107832531	107859050	+	26519	1258	6	4	1	1	4	3	3	3
NM_001252454	EPN1	chr7	5031836	5049780	+	17944	2394	911	1229	844	987	1519	1445	1045	930
NM_027984	EPN3	chr11	94350912	94361288	-	10376	3884	0	5	3	2	3	2	2	4
NM_010149	EPOR	chr9	21763342	21768020	-	4678	1829	60	103	13	11	8	9	20	6
NM_029735	EPRS	chr1	187186973	187252234	+	65261	4850	2709	4422	4383	4906	7435	8120	4321	5457
NM_001290623	EQTN	chr4	94573957	94595534	-	21577	1164	7	0	1	1	5	2	1	2
NM_022313	ERAL1	chr11	77886877	77893885	-	7008	2014	163	186	138	145	338	353	353	312
NM_030711	ERAP1	chr13	74777319	74829323	+	52004	4014	617	572	456	347	213	143	687	400
NM_010153	ERBB3	chr10	128006423	128026557	-	20134	4020	0	0	1	0	0	0	1	1
NM_007948	ERCC1	chr7	19930419	19941873	+	11454	976	101	265	85	257	28	48	36	23
NM_007949	ERCC2	chr7	19967387	19981041	+	13654	2951	188	243	310	296	407	386	308	261
NM_001013608	ERCC6L2	chr13	63916627	64001609	+	84982	5567	321	414	207	229	397	394	356	356
NM_007950	EREG	chr5	91503642	91522675	+	19033	4136	82	355	957	1946	28	27	9	5
NM_007951	ERH	chr12	81735009	81744848	-	9839	812	439	886	708	974	1032	1003	233	238
NM_001285902	ERI3	chr4	117222928	117346902	+	123974	1038	526	607	342	384	765	675	350	315
NM_001039243	ERICH4	chr7	26399639	26400911	-	1272	910	1	0	0	0	0	1	0	0
NM_001164360	ERLIN1	chr19	44109432	44144275	-	34843	3137	552	659	1102	1028	1253	1217	1485	1310
NM_153592	ERLIN2	chr8	28134270	28149907	+	15637	3945	818	984	548	500	845	855	1287	1178
NM_015774	ERO1A	chr14	45902761	45938247	-	35486	4418	722	871	860	1250	2143	1920	7912	28819
NM_016903	ESD	chr14	75132103	75150572	+	18469	1988	787	1395	877	1398	1100	1013	934	792
NM_001081090	ESF1	chr2	139945616	139996294	-	50678	3392	430	581	911	918	1125	902	247	350
NM_023612	ESM1	chr13	113999866	114008312	+	8446	2103	0	0	0	0	0	0	0	0
NM_001033292	ESPNL	chr1	93218651	93244880	+	26229	5442	6	7	8	5	4	14	4	11
NM_007956	ESR1	chr10	5342779	5734495	-	391716	4319	0	0	1	0	4	0	5	2
NM_007953	ESRRA	chr19	6985466	6996298	-	10832	2192	394	618	568	562	1837	1814	1456	1824
NM_026576	ETAA1	chr11	17838751	17853878	-	15127	4192	129	281	81	210	230	179	104	91
NM_023154	ETHE1	chr7	25372561	25393944	+	21383	1385	96	85	66	66	97	87	77	59
NM_029250	ETNK1	chr6	143115749	143157066	+	41317	6433	4465	3584	4053	3151	3805	3386	5030	3880
NM_145920	EVC2	chr5	37729716	37816293	+	86577	4111	931	923	895	682	508	516	440	383
NM_007964	EVI5	chr5	108173813	108304126	-	130313	5849	1173	1264	1083	1019	1323	1251	1394	1133
NM_001039578	EVI5L	chr8	4166566	4193701	+	27135	1542	152	209	126	156	203	198	227	158
NM_025276	EVPL	chr11	116081872	116099405	-	17533	6398	6	4	18	17	12	11	6	16
NM_028457	EXO5	chr4	120593806	120597610	-	3804	1990	321	335	203	228	143	179	162	96
NM_001289770	EXOC1	chr5	76958335	76999323	+	40988	3375	748	1054	579	670	630	775	366	411
NM_177788	EXOC3L1	chr8	107813823	107819998	-	6175	2497	71	64	55	23	58	40	54	65
NM_177077	EXOC6B	chr6	84568479	85019507	-	451028	5440	1009	1276	1102	943	836	824	598	514
NM_001162872	EXOC7	chr11	116149311	116168052	-	18741	3212	562	569	420	314	402	422	380	271
NM_198103	EXOC8	chr8	127414198	127421605	-	7407	7407	275	383	516	585	592	629	593	506
NM_025513	EXOSC3	chr4	45329501	45333475	-	3974	1034	222	322	240	264	292	256	211	203
NM_138586	EXOSC5	chr7	26444171	26453051	+	8880	1031	133	183	191	200	501	433	349	311
NM_010162	EXT1	chr15	52899817	53177738	-	277921	3462	1726	1874	1572	1753	1798	1574	1107	992
NM_010163	EXT2	chr2	93535787	93662725	-	126938	2871	1405	1928	1248	1435	1486	1388	1353	1049
NM_018788	EXTL3	chr14	65670895	65716943	-	46048	5978	1181	1703	1650	1742	2378	2362	3709	2097
NM_010164	EYA1	chr1	14159038	14300280	-	141242	4330	1368	1045	279	105	321	101	53	52
NM_001271963	EYA2	chr2	165420527	165597227	+	176700	2459	0	0	0	1	1	0	0	0
NM_007971	EZH2	chr6	47480272	47545029	-	64757	2652	320	884	266	527	711	696	264	230
NM_021489	F12	chr13	55519326	55528163	-	8837	1961	0	0	0	0	1	0	0	0
NM_010168	F2	chr2	91465476	91476571	-	11095	1988	0	0	0	0	0	0	0	0
NM_007974	F2RL1	chr13	96281683	96295195	-	13512	2757	3	49	2	15	0	0	0	0
NM_010170	F2RL2	chr13	96466874	96472723	+	5849	2464	0	0	0	0	0	0	0	0
NM_007976	F5	chr1	166081989	166150405	+	68416	7144	0	1	0	3	0	0	1	3
NM_007979	F9	chrX	57252640	57283935	+	31295	2733	0	0	0	0	0	0	0	0
NM_029310	FABP12	chr3	10244208	10301183	-	56975	2512	0	0	0	0	6	6	2	7
NM_007980	FABP2	chr3	122597989	122602424	+	4435	965	2	0	0	0	0	0	1	0
NM_021272	FABP7	chr10	57504728	57508256	+	3528	762	1	1	0	0	0	0	0	0
NM_023480	FAHD1	chr17	24985840	24987247	-	1407	1407	291	326	135	106	321	340	340	330
NM_028224	FAIM2	chr15	99327435	99358596	-	31161	4668	2	13	2	10	2	1	1	2
NM_183187	FAM107A	chr14	9128791	9142290	-	13499	3144	0	5	352	154	691	686	82	474
NM_177391	FAM109B	chr15	82171608	82176140	+	4532	2745	121	97	91	73	31	14	25	22
NM_146127	FAM110A	chr2	151795131	151805955	-	10824	1756	121	294	56	135	44	62	76	57
NM_026667	FAM114A1	chr5	65361313	65433140	+	71827	2949	2271	2475	1312	1376	638	747	722	571
NM_001037725	FAM117B	chr1	59969849	60042192	+	72343	5534	526	736	897	1353	627	608	487	1372
NM_133750	FAM118A	chr15	84867491	84893260	+	25769	2545	181	249	168	153	199	195	190	184
NM_175411	FAM118B	chr9	35024549	35075390	-	50841	1648	311	263	295	261	349	367	154	147
NM_024203	FAM120B	chr17	15533209	15570545	+	37336	4519	838	834	866	822	654	663	806	747
NM_001243857	FAM124A	chr14	63174573	63227322	+	52749	3557	40	88	199	97	85	106	42	62
NM_172513	FAM126B	chr1	58579649	58643177	-	63528	8695	226	270	266	253	510	468	1084	1218
NM_022018	FAM129A	chr1	153418502	153566477	+	147975	3939	481	1290	484	1240	165	376	276	552
NM_133778	FAM131A	chr16	20695129	20703109	+	7980	2200	20	10	82	95	3	1	7	10
NM_001286584	FAM131B	chr6	42265303	42274639	-	9336	4048	275	735	192	372	3	12	5	2
NM_177819	FAM135B	chr15	71276107	71558268	-	282161	4623	22	13	0	2	0	0	0	0
NM_001024512	FAM149B1	chr14	21167383	21202713	+	35330	2430	150	252	122	158	223	219	245	215
NM_146149	FAM151A	chr4	106406519	106420897	+	14378	634	0	0	0	0	0	0	0	0
NM_001163627	FAM151B	chr13	93219574	93253986	-	34412	1383	16	24	12	8	18	24	34	23
NM_029984	FAM159B	chr13	105635362	105653973	-	18611	1310	0	0	0	0	0	0	0	0
NM_194345	FAM160B2	chr14	70983101	70999642	-	16541	4034	266	343	238	266	249	249	317	338
NM_177838	FAM163A	chr1	157923085	158135156	-	212071	3892	0	0	0	0	0	0	1	0
NM_177628	FAM167A	chr14	64055230	64084339	+	29109	4235	0	0	1	0	0	0	0	0
NM_001081161	FAM171A1	chr2	3035659	3145081	+	109422	4146	521	707	416	477	249	185	123	123
NM_026546	FAM173B	chr15	31531870	31547290	+	15420	1166	76	117	97	82	225	193	131	111
NM_026321	FAM174A	chr1	97210204	97231861	+	21657	2107	319	325	274	250	281	294	429	332
NM_001162532	FAM174B	chr7	80885192	80921805	+	36613	2678	0	0	0	0	0	0	0	0
NM_177805	FAM179B	chr12	66066728	66123560	+	56832	6434	643	924	832	908	560	546	357	345
NM_001081428	FAM184A	chr10	53352951	53470715	-	117764	3949	0	0	0	0	0	0	0	1
NM_028180	FAM186A	chr15	99748778	99762089	-	13311	621	0	0	0	0	0	0	0	2
NM_001142781	FAM188B	chr6	55153376	55270216	+	116840	4270	108	178	31	55	44	61	104	78
NM_028221	FAM192A	chr8	97098840	97125626	-	26786	1799	563	642	569	521	610	628	521	450
NM_001243123	FAM193A	chr5	34712581	34829107	+	116526	5541	805	849	642	625	792	735	597	552
NM_145382	FAM193B	chr13	55640676	55672481	-	31805	4341	741	549	692	476	435	405	716	695
NM_001033231	FAM195B	chr11	120404201	120411041	-	6840	1205	714	570	569	367	717	561	558	435
NM_183224	FAM19A3	chr3	104570322	104580465	-	10143	4317	0	1	0	0	0	0	0	0
NM_029648	FAM204A	chr19	60274488	60302600	-	28112	2035	299	336	313	233	504	474	412	329
NM_001114879	FAM208A	chr14	28242032	28296740	+	54708	7109	492	488	376	297	502	386	767	715
NM_134063	FAM208B	chr13	3565280	3610354	-	45074	8111	1000	1095	2106	1568	1483	1312	767	815
NM_153782	FAM20A	chr11	109534239	109583570	-	49331	2541	51	33	35	39	1	1	11	2
NM_145413	FAM20B	chr1	158608701	158649041	-	40340	4238	1057	1482	845	848	1795	1891	1602	1402
NM_153794	FAM210A	chr18	68419838	68459987	-	40149	9599	783	1026	927	1014	2126	1901	2486	2799
NM_025582	FAM213B	chr4	154270538	154273152	-	2614	785	58	58	34	27	107	95	97	69
NM_001113283	FAM214A	chr9	74800859	74880275	+	79416	4355	569	532	182	128	1465	1510	1360	1719
NM_172691	FAM214B	chr4	43045285	43059092	-	13807	3074	376	456	384	389	322	307	464	511
NM_177629	FAM216B	chr14	78480830	78488814	-	7984	2238	0	2	0	1	0	0	0	0
NM_027967	FAM217A	chr13	35001832	35011861	-	10029	2395	0	0	0	0	1	0	0	0
NM_001081289	FAM217B	chr2	178149238	178156866	+	7628	2264	423	342	92	85	192	145	338	257
NM_001159583	FAM219A	chr4	41465961	41516560	-	50599	2108	171	180	196	181	99	87	85	78
NM_175273	FAM219B	chr9	57385334	57390994	+	5660	3006	246	312	405	319	305	295	367	269
NM_029455	FAM227B	chr2	125809218	125977740	-	168522	1575	1	5	0	2	0	1	1	0
NM_183254	FAM229B	chr10	38838613	38853701	-	15088	730	45	54	21	22	18	20	42	20
NM_001081165	FAM26D	chr10	33758589	33764119	-	5530	3714	0	0	0	0	0	0	0	0
NM_175449	FAM26F	chr10	33845872	33847778	-	1906	1082	7	3	1	0	10	2	26	16
NM_026455	FAM32A	chr8	74743628	74747674	+	4046	1921	629	768	642	572	680	678	683	542
NM_029389	FAM35A	chr14	35050220	35123689	-	73469	3452	118	180	122	121	301	302	254	319
NM_025473	FAM3A	chrX	71630058	71638478	-	8420	1765	279	234	88	90	246	222	391	324
NM_146050	FAM3D	chr14	9181461	9211277	-	29816	1251	0	0	2	1	0	0	0	0
NM_177632	FAM43A	chr16	30599808	30602883	+	3075	3075	1922	2071	1491	2263	599	372	386	223
NM_001160379	FAM46A	chr9	85214045	85220757	-	6712	5450	473	183	148	90	64	48	286	67
NM_175307	FAM46B	chr4	133036047	133043855	+	7808	2288	84	293	825	988	81	173	22	89
NM_001146119	FAM49A	chr12	12268944	12383167	+	114223	4691	0	0	0	0	0	0	0	0
NM_138746	FAM50B	chr13	34831510	34839491	+	7981	1315	0	0	0	0	0	0	0	0
NM_197989	FAM58A	chr11	78564007	78565231	-	1224	1224	176	291	226	228	262	309	170	121
NM_133858	FAM63A	chr3	95086856	95100086	+	13230	2736	331	353	349	553	337	383	361	302
NM_001286100	FAM65B	chr13	24674057	24825675	+	151618	5466	1	3	1	1	1	0	1	1
NM_173770	FAM69C	chr18	84889633	84909828	+	20195	2153	0	0	0	0	4	2	13	42
NM_028169	FAM71E1	chr7	51751957	51756504	+	4547	849	13	11	8	5	6	7	31	15
NM_001289663	FAM71F1	chr6	29269139	29286022	+	16883	1596	8	14	2	2	1	2	29	22
NM_175511	FAM78A	chr2	31922404	31939225	-	16821	4011	4	4	1	0	0	0	0	0
NM_175461	FAM78B	chr1	168931547	169021433	+	89886	4668	1	1	0	0	0	1	0	0
NM_001045518	FAM83B	chr9	76338511	76393611	-	55100	3136	0	0	0	0	0	0	0	0
NM_027975	FAM83D	chr2	158593834	158612373	+	18539	2260	130	819	120	722	369	383	25	20
NM_145986	FAM83F	chr15	80502276	80530855	+	28579	2307	3	1	0	0	0	0	4	0
NM_023166	FAM89B	chr19	5728086	5729666	-	1580	1173	1234	1400	1191	1621	1096	852	1214	1206
NM_001146023	FAM98C	chr7	29937528	29941229	-	3701	763	53	57	38	25	43	33	75	57
NM_016925	FANCA	chr8	125792143	125842476	-	50333	3764	17	189	24	109	143	129	6	8
NM_001033244	FANCD2	chr6	113481675	113546279	+	64604	4780	30	292	27	142	217	250	16	8
NM_001115087	FANCF	chr7	59115948	59117637	-	1689	1689	96	173	56	84	105	119	62	50
NM_178912	FANCM	chr12	66176592	66233045	+	56453	7775	176	376	157	301	345	315	172	139
NM_007986	FAP	chr2	62338992	62412078	-	73086	2704	7	2	10	1	1	0	3	0
NM_145519	FARP2	chr1	95408680	95518553	+	109873	3159	103	204	355	358	388	333	191	211
NM_025648	FARSA	chr8	87380884	87393156	+	12272	1829	470	757	977	825	1416	1333	544	523
NM_001278075	FARSB	chr1	78414532	78485472	-	70940	1826	400	752	754	719	1481	1624	609	567
NM_177244	FASTKD1	chr2	69524880	69550663	-	25783	2856	136	146	133	95	447	480	341	403
NM_172422	FASTKD2	chr1	63777198	63799959	+	22761	3205	237	311	211	165	339	402	288	271
NM_027123	FASTKD3	chr13	68721124	68731156	+	10032	2362	175	252	218	213	277	271	139	145
NM_001160239	FAU	chr19	6057887	6059524	+	1637	571	3087	3434	3422	3177	3933	4355	2415	2352
NM_175234	FAXC	chr4	21858472	21928608	+	70136	9342	632	668	375	360	231	234	50	121
NM_172571	FBF1	chr11	116003598	116029492	-	25894	5373	490	634	437	421	573	555	421	344
NM_007991	FBL	chr7	28954766	28964288	+	9522	1159	121	293	258	288	316	306	86	77
NM_133754	FBLIM1	chr4	141131976	141161967	-	29991	3091	481	699	320	223	15	18	29	89
NM_010180	FBLN1	chr15	85036437	85116724	+	80287	3359	549	698	490	540	81	61	33	7
NM_007993	FBN1	chr2	125126329	125332174	-	205845	9900	3112	3331	5991	7541	564	266	242	87
NM_010181	FBN2	chr18	58168276	58369580	-	201304	10480	0	1	0	2	0	0	0	0
NM_001142642	FBRSL1	chr5	110790770	110877522	-	86752	4722	399	410	416	361	463	389	486	457
NM_133940	FBXL14	chr6	119429685	119433904	+	4219	4219	531	715	750	871	1718	1284	803	673
NM_001164225	FBXL16	chr17	25946029	25958210	+	12181	3499	93	95	51	36	36	50	39	28
NM_175206	FBXL22	chr9	66356265	66362400	-	6135	3618	9	10	8	8	9	15	3	6
NM_176959	FBXL7	chr15	26470213	26825319	-	355106	4616	0	0	0	0	0	0	0	0
NM_015798	FBXO15	chr18	85104416	85150784	+	46368	1586	3	6	3	3	5	2	1	0
NM_176848	FBXO2	chr4	147534776	147540526	+	5750	1234	345	772	553	614	426	408	46	42
NM_212433	FBXO3	chr2	103867955	103903394	+	35439	4659	654	814	515	549	889	763	1179	873
NM_133765	FBXO31	chr8	124073342	124102706	-	29364	4355	52	63	67	30	109	95	220	310
NM_025386	FBXO36	chr1	84836415	84897061	+	60646	900	83	82	54	45	102	129	124	131
NM_001037321	FBXO40	chr16	36966158	36979222	-	13064	2518	0	0	0	0	0	0	0	1
NM_001289674	FBXO41	chr6	85419569	85452988	-	33419	6503	0	2	1	1	0	0	0	0
NM_175530	FBXO46	chr7	19705207	19723610	+	18403	2962	151	193	137	152	137	108	183	161
NM_025995	FBXO5	chr10	4541075	4547383	+	6308	1807	64	357	43	237	190	164	45	38
NM_001163707	FBXO6	chr4	147519824	147526244	-	6420	1240	386	389	117	152	244	257	501	442
NM_001081490	FBXO9	chr9	77929305	77956872	-	27567	1853	203	222	401	319	782	597	637	490
NM_001177773	FBXW7	chr3	84619498	84783120	+	163622	4029	192	201	219	214	245	209	188	136
NM_001253747	FCER2	chr8	3681736	3694174	-	12438	2121	0	0	0	1	1	4	2	2
NM_028632	FCF1	chr12	86311879	86324253	+	12374	716	143	219	209	179	288	359	290	219
NM_001077189	FCGR2A	chr1	172890688	172906202	-	15514	1547	0	1	0	0	0	0	0	0
NM_172591	FCHO2	chr13	99493360	99585404	-	92044	5119	692	673	407	400	459	401	560	539
NM_010190	FCN1	chr2	27931998	27940398	-	8400	1062	0	0	0	0	0	0	0	0
NM_001029984	FCRLB	chr1	172837403	172843072	-	5669	1284	28	17	5	7	3	1	2	2
NM_007996	FDX1	chr9	51751129	51771707	-	20578	1212	219	321	510	796	650	665	672	813
NM_198675	FDXACB1	chr9	50576342	50580775	+	4433	1978	47	72	40	27	132	106	98	112
NM_007998	FECH	chr18	64616203	64648720	-	32517	2901	963	1147	773	793	1125	1082	1891	1338
NM_010193	FEM1B	chr9	62639635	62659455	-	19820	6491	991	1242	844	1049	1105	913	642	682
NM_001083905	FETUB	chr16	22918454	22939841	+	21387	1510	0	1	0	0	1	0	0	0
NM_153111	FEV	chr1	74928082	74931982	-	3900	1479	0	0	0	0	0	0	0	0
NM_183171	FEZ1	chr9	36651243	36686225	+	34982	1285	45	58	21	34	4	3	0	3
NM_146187	FFAR2	chr7	31603375	31608794	-	5419	2292	2	1	1	0	101	107	1038	568
NM_001033316	FFAR3	chr7	31639348	31641197	-	1849	1625	0	0	0	1	0	0	0	1
NM_008001	FGD1	chrX	147481712	147524229	+	42517	2938	449	713	373	405	288	286	206	121
NM_015759	FGD3	chr13	49358478	49404577	-	46099	3110	12	75	5	17	0	1	1	2
NM_001301817	FGD4	chr16	16417007	16600071	-	183064	8362	35	8	0	0	1	0	1	0
NM_172731	FGD5	chr6	91937103	92025999	+	88896	5622	1	0	0	1	2	0	3	5
NM_008002	FGF10	chr13	119503505	119581380	+	77875	4572	675	660	480	465	1728	923	534	184
NM_008005	FGF18	chr11	33016977	33047400	-	30423	1538	0	1	1	0	2	0	0	1
NM_008007	FGF3	chr7	152024516	152029253	+	4737	1194	0	0	0	0	0	0	0	0
NM_001079909	FGFR1	chr8	26629230	26686190	+	56960	4758	5954	5602	11561	10737	17341	17936	7159	6105
NM_201230	FGFR1OP	chr17	8358382	8389335	+	30953	3094	281	454	292	298	469	402	247	278
NM_001205270	FGFR3	chr5	34064372	34079717	+	15345	4222	76	62	370	81	336	203	44	48
NM_008011	FGFR4	chr13	55254178	55270120	+	15942	3146	0	0	2	0	0	2	0	0
NM_001113412	FGGY	chr4	95224197	95593630	+	369433	1891	97	110	51	67	89	106	256	215
NM_008013	FGL2	chr5	20878490	20884204	+	5714	3769	52	15	2335	2307	3	3	6	4
NM_001033301	FHDC1	chr3	84246117	84284361	-	38244	5930	92	162	91	108	30	16	11	27
NM_010211	FHL1	chrX	53984937	54046523	+	61586	2382	54	89	21	50	21	33	163	97
NM_010213	FHL3	chr4	124377942	124385855	+	7913	1685	319	419	203	162	114	91	149	126
NM_026271	FIBIN	chr2	110201081	110203150	-	2069	2069	134	108	63	32	80	65	117	162
NM_010216	FIGF	chrX	160811479	160840579	+	29100	1876	1345	1489	217	337	72	63	366	173
NM_001081243	FILIP1	chr9	79663368	79825689	-	162321	4207	0	0	0	1	0	0	0	0
NM_001159573	FIP1L1	chr5	74931506	74993149	+	61643	3061	897	1051	531	596	951	942	498	554
NM_001163243	FIS1	chr5	137429144	137442104	+	12960	950	781	1096	592	676	1145	1160	1023	788
NM_026808	FITM1	chr14	56194510	56195789	+	1279	912	0	0	0	0	0	0	0	0
NM_173397	FITM2	chr2	163294438	163298365	-	3927	1558	164	274	729	570	4157	3818	2668	2669
NM_010221	FKBP10	chr11	100277007	100286154	+	9147	2410	1373	2290	1674	1939	1065	1022	367	345
NM_153573	FKBP14	chr6	54527598	54543122	-	15524	2644	1211	863	1051	602	803	458	844	428
